t	z	A	theta	lambda	theta_s	lambda_s
337000.000000	1.297031	-1.587658	-0.039194	2.458665	-0.026817	-2.526714
338000.000000	1.182674	-1.583608	-0.039762	2.500360	-0.026896	-2.599467
339000.000000	1.068314	-1.579517	-0.040160	2.542058	-0.026976	-2.672220
340000.000000	0.953952	-1.575333	-0.040384	2.583758	-0.027055	-2.744973
341000.000000	0.839590	-1.570989	-0.040427	2.625458	-0.027135	-2.817727
342000.000000	0.725227	-1.566386	-0.040278	2.667159	-0.027214	-2.890480
343000.000000	0.610866	-1.561372	-0.039920	2.708857	-0.027294	-2.963233
344000.000000	0.496505	-1.555673	-0.039325	2.750553	-0.027373	-3.035986
345000.000000	0.382150	-1.548766	-0.038440	2.792241	-0.027453	-3.108740
346000.000000	0.267806	-1.539390	-0.037165	2.833918	-0.027532	3.101693
347000.000000	0.153485	-1.523641	-0.035232	2.875567	-0.027612	3.028939
348000.000000	0.039264	-1.477422	-0.031375	2.917078	-0.027691	2.956186
349000.000000	0.007843	-1.678334	-0.026930	2.875632	-0.027771	2.883433
350000.000000	0.023267	1.584700	-0.027534	2.833954	-0.027850	2.810680
351000.000000	0.054324	1.575086	-0.027737	2.792272	-0.027929	2.737927
352000.000000	0.085383	1.573547	-0.027876	2.750589	-0.028009	2.665173
353000.000000	0.116441	1.573186	-0.028000	2.708907	-0.028088	2.592420
